	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
219150	1562	1665	1676	1511	1586	1670
13666	827	826	866	748	724	756
142688	195	164	172	204	192	211
100502680	0	0	0	0	0	0
52028	77	92	73	67	50	66
246293	105	109	99	112	111	127
217207	947	1059	1016	956	945	908
67525	125	142	130	138	143	123
54638	738	827	849	840	819	710
434215	111	47	91	108	82	105
74376	2	0	5	1	0	0
108888	372	491	453	493	459	466
228592	15	27	15	12	14	9
12798	687	861	776	700	731	614
66271	392	503	469	342	384	413
66454	118	167	145	142	137	149
16590	14	5	8	6	1	12
56554	207	492	288	146	189	175
213452	949	892	870	756	797	803
19092	2	0	1	1	1	0
229898	76	40	60	48	47	66
72946	796	839	877	859	800	737
19720	864	965	946	921	851	805
433070	0	0	0	0	0	0
66212	963	970	959	902	931	937
238276	1	0	1	0	1	0
93670	0	1	0	0	0	0
73230	0	1	1	0	0	0
57390	0	2	0	0	0	0
74477	233	268	240	230	239	225
14729	7	4	15	9	4	5
66586	393	350	357	434	414	403
16410	2421	2498	2182	1569	1613	1674
224530	2	5	2	1	1	7
11648	0	0	0	1	0	0
239083	0	0	0	1	0	0
14610	0	0	0	0	0	0
100043772	105	109	74	56	80	73
626848	375	329	309	260	239	292
101055745	3	0	0	0	0	0
52055	3901	3185	3784	2791	2654	2804
18647	1919	1847	1764	1975	1919	2091
118567384	38	73	54	51	60	39
20962	0	0	1	0	0	0
72486	202	240	204	174	195	164
242286	0	0	0	0	0	0
99982	1077	1143	1165	968	998	952
27275	412	430	400	385	390	400
231050	557	555	515	584	540	602
626391	99	83	100	63	88	64
245305	251	251	193	177	174	185
235132	486	428	476	410	464	465
54201	176	163	198	180	134	144
382252	166	180	185	111	120	142
238393	0	0	1	1	0	1
11798	1947	1673	1495	1370	1424	1549
230753	3816	4061	4008	3349	3419	3363
20873	543	803	640	447	486	478
109254	0	0	0	1	0	1
70549	7	9	7	10	8	6
383619	1120	914	889	847	865	891
216971	416	487	481	527	462	465
66241	433	408	474	418	445	405
72948	7	10	7	3	3	0
21881	10343	10471	11715	12768	12074	11778
257632	228	166	183	200	150	175
66230	100	186	150	138	168	130
11651	5072	5980	5865	5690	5555	5281
